Timestamp,Age,Gender,Occupation,Home State,Language,School (If college student),Program enrolled,Factors affecting mental health,Areas of mental health concerns,"Escape Hours: Your Safe Space
A place where little things bring you peace, joy, comfort, helps to recharge, and find happiness.",What's your mental health status?,How would you scale your sensitivity?,"If you鈥檙e not feeling happy, or if you鈥檙e feeling low, what do you think is the biggest key reason behind it?","When you鈥檙e going through tough moments, what kind of comfort or support do you wish for from others?","Have you ever consulted a doctor that you鈥檙e dealing with a mental health issue? If yes, did you take help of medication or professional guidance?",How did you look after yourself and your mental health?,What do you feel now or what's your point of view about life when you have overcome your depressed phase?,If you have faced panic attacks/anxiety attack/other depression symptoms how you have faced it?,Do you find it easy to share your emotions and feelings with others?,If you have used AI platforms to share breakdown moments how did it respond?,"Compared to talking with friends, family, or professionals, how effective do you find AI in providing mental health support?","To what extent do you find AI helpful in managing stress, anxiety, or overall mental health?","If you have experienced bias in AI responses (e.g., stereotypes, insensitive replies based on your gender), please describe it briefly.",What improvement/what way AI should have responded to reach your emotions and thoughts?,Few words you would like to share which might help and encourage others
2025/09/11 9:08:39 pm GMT+5:30,19,Female,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic;Family;Love/Relationship;Friendship/social circles;Overthinking/isolation/self-worth struggles,Depression;Stress;Loneliness;Low self esteem/motivation;Phobias,"Songs , youtube videos ",4,4,Maybe not having someone with me,Just be with me and understand me,No,Just by trying to love myself more,Life is actually very beautiful with many different lessons,My hands started shaking while crying and I started crying loudly and feel little bit of chest pain type something,Maybe,Neutral,Somewhat effective,Somewhat helpful,Never,Being more related to us like our friends,"Ai is actually very advanced these days and maybe in future it can help us more like our friends, by becoming a support system for us but not completely dependent on them"
2025/09/11 9:10:27 pm GMT+5:30,19,Male,Nothing,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B.TECH COMPUTER SCIENCE ENGINEERING WITH SPECIALIZATION IN SAP,Love/Relationship,Anger,Football,9,3,Overthinking,Just sitting by my side,No,Yes,Beautiful,By Sleeping,Yes,Positively,Somewhat effective,Neutral,It's always positive and motivated,Connect to humans emotions,Keep doing where you are trying to do 馃憤
2025/09/11 9:35:37 pm GMT+5:30,19,Male,Student,West Bengal,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic;Financial independence,Stress;Sleep issues;Low self esteem/motivation,Enough sleep,10,1,Tiredness or stress,Suggestion and time when needed,No,Never thought on that topic,No I didn't go in that phase never let myself down,No,Yes,Positively,Less effective,Neutral,No,Positively,Never feel low or disheartened since life is about ups and downs
2025/09/11 9:45:51 pm GMT+5:30,19,Female,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH ELECTRONICS AND COMMUNICATION ENGINEERING,Academic;Friendship/social circles;Double standards in freedom;Media or social representation;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Sleep issues;Loneliness;Low self esteem/motivation;Anger,My club,4,5,Don't know,Just simple talking,No,Consoling myself,I now can handle situations alone,Simply isolating myself,Yes,Neutral,Much Less effective,Not at all helpful,No,Don't know,Just focus on yourself others are only there for you when they are bored
2025/09/11 9:53:59 pm GMT+5:30,20,Female,College student,West Bengal,Bengali,SCHOOL OF LIFE SCIENCE AND BIOTECHNOLOGY,B.SC BIOCHEMISTRY,Love/Relationship;Friendship/social circles;Health issues;Societal culture and discrimination;Unequal freedom in choosing career paths;Double standards in freedom;Negative experiences (bully/harrasment);Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Sleep issues;Loneliness;Low self esteem/motivation;Anger;Obsessive compulsive disorder (OCD),"Greenery, ocean",4,5,Overthinking,Consoling,No,By thinking calmly,Not to overthink about,Taking rest,Yes,Neutral,Less effective,Neutral,No i haven't,Get more interactive with people understand more feelings,For me people's consolement will work more better than AI
2025/09/11 9:54:14 pm GMT+5:30,19,Female,Study,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Love/Relationship,Sleep issues,Own Home with family,7,5,I am not happy for my love life and relationship and also stress of study,i want he or she understand my situation and ny emotions,No,"I want to take care myself, but I can鈥檛.",I want to live a happy life without any stress,鈥渢alk with my parents and spend time with them,No,Very positively,Same,Somewhat helpful,"Yes, I have experienced a little bias in AI responses. Sometimes the replies included stereotypes or felt less sensitive, especially regarding gender","I think AI should respond with more empathy and understanding, not just solutions. Sometimes a gentle, supportive tone is more helpful than direct advice",I don鈥檛 trust anyone.
2025/09/11 9:54:23 pm GMT+5:30,19,Male,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic;Family;Friendship/social circles;Overthinking/isolation/self-worth struggles,Stress;Sleep issues;Loneliness,Home,6,3,Homesickness,Just daily check in,No,Keeping myself busy,It's all about experience,N/A,Maybe,Very positively,Somewhat effective,Neutral,No,N/A,Keep going
2025/09/11 9:59:00 pm GMT+5:30,19,Female,student,Karnataka,Kannada,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Family;Love/Relationship;Friendship/social circles;Health issues;Financial independence,Sleep issues;Post traumatic stress disorder,my bed,1,1,sleep less,to keep their mouth shut,No,sleep,sleep,sleep,No,Very positively,Much more effective,Extremely helpful,no,to be my boyfriend,go back to sleep
2025/09/11 10:08:05 pm GMT+5:30,19,Male,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic;Family;Overthinking/isolation/self-worth struggles,Stress;Sleep issues;Anger,Laptop and mobile,5,1,I can't find any clue for eternal life and it is very tough to balance study and self time,Watching anime and one handed,No,One handed,"Only eternal life is worth pursuing nothing else .... Humans only live for 100 years ... They produce offsprings or try to create a name for them cause they  want to exist but time never listens to us they will eventually perish .... And going back in time is not impossible but infinite energy is needed ... Cause the universe is always becoming more disorder for increasing entropy ... And if we want to time travel we need to change whole universe's entropy .... It's not impossible but we need to cheat ... Or we can use telomarase or cancer cell to become immortal... Still it is an idea for from completion ... If I had enough power i would choose immortality then I will play with mountains , flow with river and watch closely the stars and galaxies ... I want godhood for sure ... This is my point for overcoming depression..",One handed or with suicidal thoughts,No,Neutral,Somewhat effective,Somewhat helpful,I didn't face it,It should let me virtually experiment with everything I want to experiment and about lifeforms ...,Read reverend insanity
2025/09/12 8:40:11 am GMT+5:30,18,Male,Bsc forensic science,Madhya Pradesh,Hindi,Others,B.SC FORENSIC SCIENCE,Friendship/social circles;Financial independence;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Loneliness,Park,4,5,No one understanding,Understanding,No,Stressed,Loneliness,Cry,No,Neutral,Less effective,Not at all helpful,..,Ai not human,You have come to Earth single and do not expect anything from anyone because others do not care about your problems.
2025/09/12 9:19:58 am GMT+5:30,20,Female,Student,West Bengal,Bengali,Others,B.A POLITICAL SCIENCE & INTERNATIONAL RELATIONS,Academic;Family;Love/Relationship;Financial independence;Negative experiences (bully/harrasment),Depression;Anxiety / Panic attacks;Stress;Sleep issues;Loneliness;Anger,Actually I don't know what would make my completely happy! I want everyone stay blessed and I see them from far .,5,4,"When I trust someone blindly, he proved me actually blind.",Please don't cheat me,No,I don't when I could forgot all the things about my past but I would stand forward.,"I don't want to love anyone, any person. I don't want to trust any people. I want to be a heartless human being.",I was trying to be alone in a dark room,No,Neutral,Same,Neutral,No,I never used,Don't trust someone.
2025/09/12 9:26:11 am GMT+5:30,17,Male,Student,Madhya Pradesh,Hindi,Others,B.SC FORENSIC SCIENCE,Academic;Family;Negative experiences (bully/harrasment);Overthinking/isolation/self-worth struggles,Stress;Loneliness;Low self esteem/motivation;Anger,Nothing,7,4,Idk,Atleast thier smallest support,No,"Sometimes extremely harsh , and sometimes normal",Idk,No,Maybe,Neutral,Somewhat effective,Neutral,No,"Proper exact functioning, and to gave almost accurate answer ",Nothing
2025/09/12 9:46:13 am GMT+5:30,20,Female,Student,West Bengal,Bengali,Others,Not applicable,Academic;Family;Friendship/social circles;Physical appearance;Financial independence;Overthinking/isolation/self-worth struggles;Work,Stress;Anger,Someowhere where i cam sit alone and introspect its sometimes home sometimes when i take a walk outside,7,3,Sometimes academic or maybe just personal issues,Understanding me some encouragement and support,No,"By giving myslef the me time which is necessary its through slef care and reading books , taking a walk outside ",Not really any,None,Maybe,Neutral,Less effective,Neutral,Not really,Never used,Keep going its hard i understand but if we keep on fighting the evils we will make it.
2025/09/12 11:04:06 am GMT+5:30,20,Female,College student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic;Family;Love/Relationship;Double standards in freedom,Anxiety / Panic attacks;Sleep issues;Obsessive compulsive disorder (OCD),"Playing any sports, sketching, spending me time with nature, making stories in mind, observing people, talking with friends ",8,1,"Getting flashback how my closed ones(family/love) treated me, unsatisfied with study stuff","Someone to sit with, communication not necessary just the presence spreading warmth is enough, hug maybe and shoulder to rest, someone to listen my chitchat , long walk by nature, night sky gazing from terrace or balcony or empty place (with/without someone)",No,"Self understanding, understanding what life actually means,Listening to motivational stories , sit all by myself and analyse what's going on, listen to other stories and understanding different povs, ensure myself everything will be okay and to keep going ","Things will be difficult when you get into that phase, you won't understand anything, so stop pushing yourself to get things right, be calm wait endure the pain feel every emotion let your heart accept every feelings , things gonna be alright it might take years but it will be beautiful later and you will understand why things happened that way. Just live it , you won't get another life to do what you want to do now , make mistakes, enjoy the moments and rectify your mistakes . ","Never knew it was called panic attack, didn't know what's was happening so didn't know how to face it. It just happened breathless, eyes closed holding any piece of cloth tightly, body shivering , crying and grieving asking for water while lying down and someone to be there for warm hug or shoulder but only felt soul leaving body , wishing someone to be there",Maybe,Neutral,Less effective,Not very helpful,Don't get exact emotions and response are basically based on practicality which we don't need while going through stuffs,"More sensitivity and care irrespective of gender, race, age, etc","Hold on , feel every moment, don't rush to move on, there are many beautiful things in the world and the most important thing:the mistake I did not talking to friends about my mental health situation don't do that, talk with friends or strangers. Open yourself, be yourself, you are the main character of your life . It's your life don't judge yourself based on other's opinions. No one gonna remember what you did after 70 years so live it the way you want make all those mistakes you are afraid of what if they turned into blessings and best moment of your life. "
2025/09/12 11:14:58 am GMT+5:30,20,Female,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,BCA,Friendship/social circles;Health issues;Financial independence;Work,Anxiety / Panic attacks;Stress;Sleep issues;Loneliness;Phobias;Anger,Yes,8,3,Peace,Nothing,No,"Meditating, bike ride",Nothing .life is going on,Get out of this place and go out rode the bike,No,Neutral,Somewhat effective,Not at all helpful,No,Netural,Yees
2025/09/12 11:31:58 am GMT+5:30,17,Female,Studying,West Bengal,Bengali,Others,B.COM,Academic;Friendship/social circles;Health issues;Unequal freedom in choosing career paths;Double standards in freedom;Media or social representation;Overthinking/isolation/self-worth struggles,Stress;Sleep issues;Loneliness;Anger,Home and family and friends and my phone,5,4,My confused feelings鈥cademic pressure,They showing hope and faith in me and showing trust,Consulted doctor but didn't take medication help,Ignoring negativity around,Focusing on myself and what o think is what matters ignoring the world is better for my mental state,No,No,Positively,Somewhat effective,Extremely helpful,No no,If so could speak it would have been better,It鈥檚 just a phrase of life eventually it was pass away and good days will come keep faith in god in believe yourself
2025/09/12 1:23:48 pm GMT+5:30,19,Female,Student,West Bengal,Bengali,SCHOOL OF EDUCATION,B.A ENGLISH LANGUAGE & LITERATURE,Overthinking/isolation/self-worth struggles,Stress,Sitting alone in one place quietly,4,4,My overthinking,Then no one should talk to me,No,"I should stay quiet for a while, then I would solve one problem at a time .","The more alone, the more peaceful ",To fall silent,Maybe,Neutral,Somewhat effective,Somewhat helpful,No experience,To talk calmly with me,Nothing
2025/09/12 2:02:28 pm GMT+5:30,19 Years,Female,Student,West Bengal,Bengali,Others,BCA,Academic,Low self esteem/motivation,My home,5,5,"I often feel overwhelmed due to a combination of personal expectations and pressure form family. Sometimes , it feels like I don't have full control over the direction of my life, which leads to a sense of low self -worth .","I wish people would just listen without judging or giving advice right away. A little understanding, empathy ,or even just having someone sit with me in silence would be comforting.Knowning someone truly cares makes a big difference.",Consulted doctor and took help of medication,"I started focusing on self- care like maintaining a regular sleep schedule, eating better, reducing social media use, and taking to someone I trust .",I feel stronger and more hopeful .I appreciate life  more and believe healing is possible.,"I used deep breathing ,stayed clam, talked to someone I trust. ",No,Positively,Somewhat effective,Neutral,"No, I haven't experienced any noticeable bias in AI responses so far.",AI could ask more personalized follow- up  questions and show more emotional understanding.,You matter more than you know .
2025/09/14 9:24:02 am GMT+5:30,20,Male,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH ELECTRONICS AND COMMUNICATION ENGINEERING,Academic;Family;Love/Relationship;Friendship/social circles;Health issues;Physical appearance;Societal culture and discrimination;Double standards in freedom;Financial independence;Overthinking/isolation/self-worth struggles,Stress;Anger,Playing football,6,4,"Academic performance, physical health, people around me",To acknowledge my panic and giving me ideas how to get out from the situation,Consulted doctor but didn't take medication help,Every day improving,Much better than earlier,No,Yes,Positively,Somewhat effective,Neutral,Yes it apply same logic for every one,It should ask more questions to gather more details,"Rise early in the morning, stay healthy and try to get better than the day before"
2025/09/14 9:26:59 am GMT+5:30,19,Male,student,West Bengal,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic,"Phobias;nothing, sometimes sad but never more than 5-8 mins",spending time with family and school friends,10,3,not doing anything productive throughout the day,people not talking about it or confronting me,No,I just sat quietly and went to sleep.,I believe it鈥檚 a part of life that everyone must face and overcome.,"It鈥檚 not other symptoms of depression, but rather anxiety 鈥� or I should say, the emotional reaction I experience every time before leaving home.",Yes,Positively,Less effective,Neutral,never found,"AI is very very much positive, AI must be more realistic",watch less reels and stop day dreaming
2025/09/14 11:36:15 am GMT+5:30,21,Male,Rewade,West Bengal,Gujarati,Others,Others,Friendship/social circles,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Sleep issues;Low self esteem/motivation;Anger;Post traumatic stress disorder,Pihu ko churana akhilll se馃惂,1,5,Akhilll,Akhilll,No,Akhilll,Akhilll,Akhilll,Yes,Vry negatively,Somewhat effective,Neutral,Akhilll hi ek lauti pareshaani hai,Tell me how to kill akhilll,Akhilll jese dost na banye
2025/09/14 3:13:19 pm GMT+5:30,20,Female,College Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH (COMPUTER SCIENCE ENGINEERING & BUSINESS SYSTEMS),Financial independence;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Loneliness;Obsessive compulsive disorder (OCD),Being with close people,8,5,Overthinking,Spending time with close people,No,Loving myself,Everyone should not judge themselves for othes or trust others blindly,Spending quality time with my family and understanding that situation rather than getting stressed about it more,Yes,Very positively,Somewhat effective,Extremely helpful,"Yes,AI replies more accurately or gives more effective results if the user is a girl but doesn't give that much deep and accurate answers to boys","Nothing, AI should be more informative and give equal importance to both gender male and female ",Everyone should believe in themselves
2025/09/14 4:13:41 pm GMT+5:30,20,Female,Govt job,West Bengal,Bengali,Not applicable,Not applicable,Academic;Family;Love/Relationship;Friendship/social circles;Health issues;Overthinking/isolation/self-worth struggles,Depression;Stress;Sleep issues;Low self esteem/motivation;Anger,My house,6,3,Overthinking,Support and patience,No,Doing my fav things,Now I feel caged,By giving myself some alone time,Maybe,Neutral,Much Less effective,Not at all helpful,No,AI has to give different answers respective of who and when it is asked,Keep going
2025/09/14 8:02:58 pm GMT+5:30,19,Female,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,BCA,Academic;Family;Love/Relationship;Friendship/social circles;Health issues;Physical appearance;Unequal freedom in choosing career paths;Double standards in freedom;Negative experiences (bully/harrasment);Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Sleep issues;Loneliness;Low self esteem/motivation;Phobias;Anger;Obsessive compulsive disorder (OCD);Bipolar disorder;Post traumatic stress disorder,Art.,1,5,My past.,I've zero expectations from others,Consulted doctor but didn't take medication help,I hurt myself.,I never give up I come back even after I feel to end my life.,I was hospitalized.,Yes,Neutral,Less effective,Neutral,I can't actually but yeah my closed ones made me feel like i shouldn't share my feelings.,Ai can't be human tho I don't feel like it can help me.,"As I already said ""come back n don't give up"" no matter if you have your friends or family with you or not no matter how worthless you feel..no matter even if you don't have anybody to celebrate your life's best moments with or not..hihi just laugh "
2025/09/14 11:43:14 pm GMT+5:30,29,Male,Self dependent,West Bengal,Bengali,Others,B.A ENGLISH LANGUAGE & LITERATURE,Academic,Stress,My Playground,6,5,Nothing,Mental,No,Carefully,Keep Strong,No,No,Vry negatively,Less effective,Somewhat helpful,No,No,AI is the worst of timing
2025/09/15 7:34:13 am GMT+5:30,19,Male,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH ELECTRICAL ENGINEERING,Academic;Health issues;Societal culture and discrimination;Financial independence;Overthinking/isolation/self-worth struggles;Work,Anxiety / Panic attacks;Stress;Low self esteem/motivation;Post traumatic stress disorder,"Playing team sports like cricket, football etc",8,4,If I didn't do the things I promised myself that I would do,Being supportive and cheerful at that time,No,Staying alone for a little bit of time while figuring out why things did not work,"At that time, the feelings become worse, but I think that God has given me the ability to overcome the unwanted things pretty easily ",Having bad dreams while sleeping and sleep breaks out of nowhere in midnight,Maybe,Very positively,Somewhat effective,Somewhat helpful,No,Having a bit more customised response for each user after a long term usage. It feels more personalized then,"Staying and living at that moment makes you more vulnerable, try to go for a walk or do some kind of activity which makes you happy. And it will be lot easier to overcome depression "
2025/09/15 8:20:28 am GMT+5:30,20,Female,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic;Family;Friendship/social circles;Health issues;Unequal freedom in choosing career paths;Overthinking/isolation/self-worth struggles;Work,Depression;Stress;Sleep issues;Loneliness;Low self esteem/motivation;Phobias;Anger;Obsessive compulsive disorder (OCD),"Sleeping, Watching Movies, Deep conversation with best friend",4,3,Any achievement ; Monotonous Life,"Genuine advice, suggestion, support",No,"Not much concerned right now, just going with the flow",Being busy in work is the biggest blessing,Escape through sleeping,Maybe,Positively,Same,Somewhat helpful,No,No,"AI is really best in providing the best advices, suggestion, outcomes and everything but if you need moral support or someone to just share and cry out everything, then you need a trustworthy person who you can trust blindly or a genuine wellwisher."
2025/09/15 2:34:44 pm GMT+5:30,21,Male,Student,Jharkhand,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH (COMPUTER SCIENCE ENGINEERING & BUSINESS SYSTEMS),Academic;Family;Friendship/social circles;Health issues;Physical appearance;Societal culture and discrimination;Financial independence;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Sleep issues;Loneliness;Low self esteem/motivation;Anger,With my friends,5,3,Don't know the reason.,listen to me properly at least,No,I am not well and my mental health is also not good.,I am feeling sleepy. Just value the little moments,No idea.,Maybe,Positively,Same,Somewhat helpful,"In my experience, I haven't faced strong bias in Al responses. Most of the replies I've received are neutral and focused on my queries. Sometimes the quality or creativity of the response may not fully match what I expect, but I haven't noticed stereotypes or insensitive replies based on my gender.","The Al should respond with more empathy and personalization - acknowledge my feelings, mirror my tone, avoid assumptions, and offer clear, relevant follow-up options so the reply feels understood and useful.""","Don't hesitate to try Al - treat it like a tool you can shape. Be clear with your needs, guide it when it goes off-track, and you'll be surprised how much value it can add. Keep experimenting, and you'll find it becomes more like a helpful companion than just a machine"
